iter	Passed	Remaining
0	275	274799
1	603	301283
2	848	282077
3	1087	270722
4	1352	269170
5	1620	268453
6	1985	281724
7	2269	281362
8	2557	281609
9	2850	282225
10	3231	290501
11	3512	289234
12	3756	285238
13	4012	282577
14	4273	280601
15	4481	275587
16	4743	274277
17	5057	275896
18	5380	277793
19	5633	276038
20	5879	274098
21	6145	273201
22	6424	272896
23	6669	271218
24	6902	269210
25	7276	272578
26	7556	272329
27	7809	271103
28	8091	270919
29	8332	269412
30	8565	267749
31	8785	265756
32	9070	265802
33	9371	266260
34	9621	265274
35	9886	264748
36	10174	264807
37	10539	266820
38	10790	265891
39	11046	265120
40	11307	264477
41	11556	263604
42	11794	262497
43	12039	261588
44	12316	261373
45	12592	261154
46	12855	260658
47	13173	261269
48	13476	261551
49	13745	261158
50	13995	260427
51	14227	259377
52	14418	257627
53	14659	256806
54	14897	255965
55	15135	255147
56	15366	254228
57	15610	253535
58	15788	251806
59	16056	251556
60	16329	251368
61	16573	250747
62	16810	250016
63	17038	249187
64	17296	248797
65	17574	248700
66	17852	248599
67	18112	248248
68	18395	248199
69	18664	247976
70	18926	247638
71	19228	247831
72	19448	246964
73	19727	246861
74	19952	246083
75	20193	245506
76	20462	245285
77	20775	245581
78	21020	245060
79	21252	244398
80	21478	243692
81	21709	243038
82	21978	242822
83	22201	242106
84	22434	241495
85	22719	241464
86	22991	241281
87	23267	241140
88	23563	241190
89	23904	241704
90	24183	241568
91	24437	241190
92	24681	240706
93	24920	240192
94	25185	239927
95	25404	239224
96	25686	239118
97	25914	238522
98	26153	238025
99	26392	237535
100	26612	236881
101	26856	236441
102	27097	235986
103	27328	235445
104	27576	235054
105	27784	234335
106	28017	233825
107	28339	234066
108	28621	233961
109	28873	233614
110	29169	233614
111	29416	233234
112	29644	232695
113	29886	232275
114	30095	231604
115	30357	231341
116	30614	231048
117	30857	230649
118	31129	230464
119	31412	230357
120	31665	230035
121	31907	229626
122	32153	229255
123	32410	228967
124	32621	228349
125	32859	227932
126	33130	227742
127	33386	227443
128	33595	226832
129	33821	226343
130	34151	226545
131	34394	226172
132	34643	225830
133	34869	225347
134	35111	224971
135	35406	224937
136	35675	224730
137	35910	224312
138	36182	224123
139	36460	223971
140	36700	223588
141	36926	223117
142	37216	223041
143	37463	222698
144	37721	222423
145	37959	222035
146	38207	221706
147	38484	221544
148	38781	221497
149	39083	221475
150	39307	221009
151	39544	220614
152	39771	220174
153	40045	219988
154	40305	219730
155	40551	219395
156	40768	218901
157	41002	218505
158	41254	218206
159	41532	218043
160	41741	217522
161	42019	217362
162	42321	217321
163	42587	217092
164	42837	216783
165	43105	216564
166	43386	216414
167	43637	216107
168	43936	216042
169	44166	215637
170	44499	215731
171	44768	215511
172	45034	215282
173	45294	215020
174	45541	214695
175	45769	214285
176	46039	214069
177	46290	213767
178	46553	213522
179	46820	213292
180	47082	213041
181	47311	212641
182	47598	212504
183	47835	212142
184	48075	211792
185	48332	211517
186	48541	211036
187	48792	210741
